LINEA,MARCA,2024,2025,Var 24/25
NAVI E3,HONDA,1752,58,-0.9668949771689498
WAVE 110S BLACK EDITION,HONDA,300,57,-0.81
TRK 502,BENELLI,60,57,-0.050000000000000044
180S,BENELLI,1141,55,-0.9517966695880806
CRF1100D3S,HONDA,2,55,26.5
XR 150L BA,HONDA,233,54,-0.7682403433476395
RONIN 225 TD,TVS,121,54,-0.5537190082644627
CF650-10H,CFMOTO,-,54,-
RS 457,APRILIA,-,53,-
ER500ESFNN,KAWASAKI,-,52,-
SPORT KLS SPOKE TK,TVS,11,51,3.6363636363636367
XRE300 ABS,HONDA,1975,51,-0.9741772151898734
LIFE 125,VICTORY,304,50,-0.8355263157894737
MTT890D (TRACER 9 GT),YAMAHA,-,50,-
MONSTER,DUCATI,82,48,-0.41463414634146345
ZONTES 350 T1,VICTORY,42,47,0.11904761904761907
RC 200 NG,KTM,63,46,-0.2698412698412699
CT100 ES ALLOY,BAJAJ,1907,46,-0.9758783429470372
GRR 450,ROYAL ENFIELD,-,44,-
AY200ZH-2,AYCO,-,44,-
F 900 GS-P,BMW,-,44,-
CF400-6H,CFMOTO,-,44,-
ND300ZH,NATSUKI,8,44,4.5
XTZ690 (TENERE 700),YAMAHA,63,43,-0.31746031746031744
RC 390 GP,KTM,13,43,2.3076923076923075
MULTISTRADA V2 S,DUCATI,67,42,-0.3731343283582089
GSX-8S,SUZUKI,52,41,-0.21153846153846156
CF800-5,CFMOTO,66,41,-0.3787878787878788
CB1000SPS,HONDA,-,40,-
KLE650JSFNN,KAWASAKI,-,40,-
NC750XDS,HONDA,-,40,-
APE CITY,PIAGGIO,213,40,-0.812206572769953
BLACK,VICTORY,67,39,-0.417910447761194
MAXI,BRENSON,50,38,-0.24
HYPERMOTARD 698,DUCATI,58,38,-0.3448275862068966
AK162CR4,AKT,1322,38,-0.9712556732223904
ADVANCE R TK,VICTORY,265,37,-0.8603773584905661
F 900 XR,BMW,61,36,-0.4098360655737705
CF700-9F,CFMOTO,71,36,-0.49295774647887325
CRF1100AS,HONDA,17,36,1.1176470588235294
CB650RAR,HONDA,4,35,7.75
PULSAR 150 TD FI ABS,BAJAJ,1173,35,-0.9701619778346121
SPORT 100 ELS CARGO,TVS,86,34,-0.6046511627906976
NT350ZH,NATSUKI,24,34,0.41666666666666674
CRF1100D4S,HONDA,2,34,16
XR 150L BLANCO AZUL E3,HONDA,1192,33,-0.9723154362416108
ZR900FRFBN,KAWASAKI,126,32,-0.746031746031746
WAVE 110S FEST,HONDA,26,32,0.23076923076923084
ADVANCE R,VICTORY,330,32,-0.9030303030303031
CF800-7F,CFMOTO,44,32,-0.2727272727272727
RC 390 NG,KTM,36,32,-0.11111111111111116
CMX500AR,HONDA,-,32,-
990 DUKE,KTM,57,32,-0.4385964912280702
890 ADVENTURE R,KTM,62,32,-0.4838709677419355
S 1000 R,BMW,25,31,0.24
S 1000 RR,BMW,29,30,0.034482758620689724
VIVA MIX,GOGORO,6,30,4
ZX636JSFAN,KAWASAKI,-,30,-
ZONTES 310 M,VICTORY,69,30,-0.5652173913043479
MGA70,SYM,29,29,0
NC750XDP,HONDA,137,29,-0.7883211678832117
IGNITOR 5S SUPER STREET,HERO,351,29,-0.9173789173789174
LJA70,SYM,27,29,0.07407407407407418
TIGER 900 RALLY PRO,TRIUMPH,19,29,0.5263157894736843
SKUTY ONE,STARKER,72,29,-0.5972222222222222
S 1000 XR,BMW,28,29,0.03571428571428581
MTN690 (MT07),YAMAHA,39,28,-0.28205128205128205
HYPERMOTARD 950,DUCATI,34,27,-0.20588235294117652
APACHE RTR 310 PRM,TVS,10,27,1.7000000000000002
NITRO 125 TK,VICTORY,-,26,-
MOBILITY,BRENSON,22,26,0.18181818181818188
ADV750R,HONDA,332,26,-0.9216867469879518
DIO DLX 2.0,HONDA,584,25,-0.9571917808219178
DIO STD E3,HONDA,1581,25,-0.9841872232764073
CB650RACS,HONDA,-,25,-
JC200,JINCHENG,-,24,-
TNT135,BENELLI,48,24,-0.5
CB1000RAP,HONDA,60,23,-0.6166666666666667
INTERCEPTOR INT 650,ROYAL ENFIELD,43,23,-0.4651162790697675
DR 650,SUZUKI,4,23,4.75
TRIDENT 660,TRIUMPH,-,23,-
EX500GRFNN,KAWASAKI,37,23,-0.3783783783783784
300AC,VOGEPRO,182,22,-0.8791208791208791
CF400-10F,CFMOTO,17,22,0.2941176470588236
AVANTI S,STARKER,168,22,-0.8690476190476191
VENOM 14 PRO,VICTORY,116,22,-0.8103448275862069
NORDEN 901 EXPEDITION,HUSQVARNA,43,22,-0.4883720930232558
KLE650JSFAN,KAWASAKI,-,22,-
ZR900FRFNN,KAWASAKI,3,21,6
HUSKY,WOLF,45,21,-0.5333333333333333
PCX 150 DLX,HONDA,37,21,-0.43243243243243246
AV12W7 EIII,AKT,1705,21,-0.987683284457478
ZONTES 350 X1,VICTORY,30,21,-0.30000000000000004
NT1100DES,HONDA,-,21,-
ME20B,SYM,44,21,-0.5227272727272727
EX500GSFNN,KAWASAKI,-,20,-
CF125-10F,CFMOTO,16,20,0.25
CF125-8F,CFMOTO,38,20,-0.4736842105263158
CF300-BF,CFMOTO,81,19,-0.7654320987654322
MULTISTRADA V4 S RADAR,DUCATI,6,19,2.1666666666666665
CE 04,BMW,25,19,-0.24
